transaction_id,amount,payment_method,bank,device,hour,previous_failures,attempt_number,error_code,customer_type,status
TX00001,15895,CARD,Bank_D,Android,9,0,1,CARD_DECLINED,RETURNING,SUCCESS
TX00002,960,UPI,Bank_A,Android,20,0,1,NONE,RETURNING,SUCCESS
TX00003,5490,CARD,Bank_D,Desktop,3,0,1,NONE,RETURNING,SUCCESS
TX00004,12064,UPI,Bank_B,Android,23,0,1,NONE,NEW,SUCCESS
TX00005,11384,NET_BANKING,Bank_C,Desktop,20,0,1,NONE,RETURNING,SUCCESS
TX00006,6365,CARD,Bank_D,Android,17,0,1,AUTH_ERROR,RETURNING,SUCCESS
TX00007,16950,NET_BANKING,Bank_B,Android,23,1,2,NONE,RETURNING,FAILED
TX00008,4526,UPI,Bank_A,iOS,7,0,1,BANK_ERROR,NEW,SUCCESS
TX00009,14523,UPI,Bank_D,Android,22,0,1,NONE,RETURNING,FAILED
TX00010,11463,UPI,Bank_A,Android,14,0,1,NONE,RETURNING,SUCCESS
TX00011,16123,UPI,Bank_B,Android,8,0,1,NONE,RETURNING,SUCCESS
TX00012,8422,NET_BANKING,Bank_C,Android,3,1,2,NONE,RETURNING,SUCCESS
TX00013,1785,UPI,Bank_A,iOS,6,0,1,NONE,NEW,SUCCESS
TX00014,869,UPI,Bank_D,iOS,0,0,1,BANK_ERROR,RETURNING,SUCCESS
TX00015,2533,UPI,Bank_A,Desktop,16,0,1,BANK_ERROR,NEW,SUCCESS
TX00016,5411,UPI,Bank_D,Android,2,0,1,NONE,NEW,SUCCESS
TX00017,5151,UPI,Bank_D,Android,21,0,1,NONE,RETURNING,SUCCESS
TX00018,6520,UPI,Bank_C,Desktop,23,0,1,NONE,NEW,FAILED
TX00019,17668,CARD,Bank_C,Android,20,0,1,NONE,NEW,FAILED
TX00020,19869,UPI,Bank_B,Android,18,0,1,NETWORK_ERROR,RETURNING,FAILED
TX00021,6496,CARD,Bank_B,Desktop,17,0,1,NONE,RETURNING,SUCCESS
TX00022,8766,UPI,Bank_B,Android,14,1,2,NONE,NEW,FAILED
TX00023,19042,CARD,Bank_D,Android,9,0,1,CARD_DECLINED,NEW,SUCCESS
TX00024,18531,UPI,Bank_C,Android,14,0,1,AUTH_ERROR,RETURNING,FAILED
TX00025,2847,NET_BANKING,Bank_D,Android,23,0,1,NETWORK_ERROR,RETURNING,SUCCESS
TX00026,289,CARD,Bank_B,Android,6,0,1,CARD_DECLINED,RETURNING,SUCCESS
TX00027,19218,UPI,Bank_B,Android,5,2,3,NETWORK_ERROR,RETURNING,FAILED
TX00028,3105,UPI,Bank_A,Android,13,0,1,BANK_ERROR,RETURNING,FAILED
TX00029,1999,UPI,Bank_B,Android,17,3,4,NONE,NEW,FAILED
TX00030,1367,CARD,Bank_D,Desktop,17,0,1,NONE,RETURNING,SUCCESS
TX00031,18012,CARD,Bank_C,Desktop,5,0,1,NONE,RETURNING,FAILED
TX00032,11494,UPI,Bank_C,Desktop,12,0,1,NONE,NEW,SUCCESS
TX00033,3656,UPI,Bank_C,iOS,10,0,1,NETWORK_ERROR,NEW,FAILED
TX00034,3990,NET_BANKING,Bank_A,iOS,8,2,3,NETWORK_ERROR,NEW,FAILED
TX00035,8938,NET_BANKING,Bank_A,Android,11,0,1,NONE,NEW,SUCCESS
TX00036,14602,CARD,Bank_B,Android,18,0,1,NONE,RETURNING,SUCCESS
TX00037,10727,UPI,Bank_B,Android,18,1,2,NONE,NEW,SUCCESS
TX00038,8892,CARD,Bank_A,Desktop,20,1,2,NONE,RETURNING,SUCCESS
TX00039,10655,CARD,Bank_A,iOS,15,0,1,NONE,RETURNING,SUCCESS
TX00040,10353,UPI,Bank_D,Desktop,2,2,3,NONE,RETURNING,FAILED
TX00041,8533,UPI,Bank_C,Android,6,2,3,NONE,RETURNING,SUCCESS
TX00042,10333,CARD,Bank_B,iOS,21,1,2,NONE,NEW,SUCCESS
TX00043,11116,UPI,Bank_B,iOS,9,0,1,NONE,RETURNING,SUCCESS
TX00044,2712,UPI,Bank_A,Android,18,0,1,NONE,RETURNING,SUCCESS
TX00045,15887,CARD,Bank_C,iOS,5,0,1,NONE,RETURNING,FAILED
TX00046,17259,CARD,Bank_A,Android,8,0,1,NONE,RETURNING,FAILED
TX00047,12306,NET_BANKING,Bank_D,Android,17,2,3,NONE,RETURNING,FAILED
TX00048,8326,UPI,Bank_A,iOS,11,3,4,BANK_ERROR,RETURNING,FAILED
TX00049,14641,NET_BANKING,Bank_D,Android,4,0,1,NETWORK_ERROR,RETURNING,FAILED
TX00050,3252,UPI,Bank_C,Desktop,4,0,1,NONE,RETURNING,FAILED
TX00051,1685,CARD,Bank_B,Android,5,0,1,NONE,NEW,SUCCESS
TX00052,4043,UPI,Bank_D,Android,17,0,1,NONE,RETURNING,FAILED
TX00053,19557,UPI,Bank_A,Android,5,0,1,NONE,RETURNING,SUCCESS
TX00054,1121,UPI,Bank_A,Desktop,0,0,1,NONE,NEW,SUCCESS
TX00055,11753,CARD,Bank_B,Desktop,10,0,1,NONE,RETURNING,SUCCESS
TX00056,10905,UPI,Bank_D,Android,15,1,2,BANK_ERROR,NEW,SUCCESS
TX00057,13517,UPI,Bank_A,Desktop,6,0,1,NONE,RETURNING,SUCCESS
TX00058,8089,UPI,Bank_A,Android,16,1,2,NONE,NEW,SUCCESS
TX00059,9792,UPI,Bank_B,Android,17,2,3,NONE,RETURNING,FAILED
TX00060,13090,CARD,Bank_C,Desktop,3,0,1,NONE,RETURNING,SUCCESS
TX00061,6973,NET_BANKING,Bank_A,Desktop,4,0,1,NONE,RETURNING,SUCCESS
TX00062,5775,UPI,Bank_B,Android,0,1,2,NONE,RETURNING,SUCCESS
TX00063,261,CARD,Bank_B,Android,0,0,1,NONE,RETURNING,SUCCESS
TX00064,4397,NET_BANKING,Bank_A,Desktop,4,0,1,NONE,RETURNING,SUCCESS
TX00065,1095,CARD,Bank_C,Android,21,1,2,NONE,RETURNING,SUCCESS
TX00066,11634,CARD,Bank_B,Desktop,18,1,2,NONE,RETURNING,SUCCESS
TX00067,7729,UPI,Bank_D,Android,12,1,2,NONE,NEW,SUCCESS
TX00068,1116,UPI,Bank_C,iOS,4,0,1,NONE,RETURNING,SUCCESS
TX00069,8629,UPI,Bank_A,Android,17,0,1,NONE,RETURNING,SUCCESS
TX00070,17362,UPI,Bank_B,Android,23,1,2,NONE,RETURNING,SUCCESS
TX00071,9368,CARD,Bank_D,Android,2,0,1,AUTH_ERROR,RETURNING,FAILED
TX00072,12285,UPI,Bank_B,Android,2,0,1,NONE,NEW,SUCCESS
TX00073,6431,UPI,Bank_B,Android,8,0,1,NONE,NEW,SUCCESS
TX00074,8671,NET_BANKING,Bank_C,Android,19,0,1,BANK_ERROR,NEW,SUCCESS
TX00075,7308,UPI,Bank_A,Android,13,0,1,NONE,RETURNING,SUCCESS
TX00076,5376,NET_BANKING,Bank_C,Android,2,0,1,NONE,RETURNING,SUCCESS
TX00077,18546,CARD,Bank_C,Android,20,0,1,NETWORK_ERROR,RETURNING,FAILED
TX00078,16548,UPI,Bank_B,Android,21,2,3,NETWORK_ERROR,RETURNING,FAILED
TX00079,16316,CARD,Bank_A,Android,13,0,1,NONE,NEW,SUCCESS
TX00080,8106,CARD,Bank_D,Desktop,16,1,2,NONE,NEW,FAILED
TX00081,2668,UPI,Bank_A,iOS,22,0,1,NONE,NEW,SUCCESS
TX00082,2127,UPI,Bank_B,Android,3,0,1,NONE,RETURNING,SUCCESS
TX00083,2795,UPI,Bank_C,Android,17,0,1,NETWORK_ERROR,RETURNING,SUCCESS
TX00084,15522,CARD,Bank_A,Android,15,0,1,NONE,RETURNING,SUCCESS
TX00085,5358,UPI,Bank_D,Desktop,1,0,1,NONE,RETURNING,SUCCESS
TX00086,6836,CARD,Bank_B,iOS,1,3,4,NETWORK_ERROR,NEW,FAILED
TX00087,491,UPI,Bank_B,Android,11,1,2,NONE,RETURNING,SUCCESS
TX00088,14086,UPI,Bank_B,Android,15,1,2,AUTH_ERROR,NEW,FAILED
TX00089,12766,UPI,Bank_D,Android,9,0,1,BANK_ERROR,NEW,FAILED
TX00090,5992,UPI,Bank_D,Android,23,0,1,NONE,NEW,SUCCESS
TX00091,3661,UPI,Bank_B,Android,1,2,3,NONE,RETURNING,SUCCESS
TX00092,6284,UPI,Bank_B,Android,15,0,1,NONE,RETURNING,SUCCESS
TX00093,19583,UPI,Bank_B,Android,3,0,1,BANK_ERROR,RETURNING,SUCCESS
TX00094,8492,NET_BANKING,Bank_B,Android,9,1,2,NONE,RETURNING,SUCCESS
TX00095,13167,UPI,Bank_A,Desktop,16,0,1,NONE,NEW,SUCCESS
TX00096,15365,CARD,Bank_C,Android,3,2,3,NETWORK_ERROR,NEW,FAILED
TX00097,19588,NET_BANKING,Bank_D,Android,21,1,2,NETWORK_ERROR,RETURNING,FAILED
TX00098,2554,NET_BANKING,Bank_C,Android,5,0,1,NONE,RETURNING,SUCCESS
TX00099,11937,NET_BANKING,Bank_B,Android,2,0,1,NONE,NEW,SUCCESS
TX00100,14139,UPI,Bank_D,Desktop,8,0,1,BANK_ERROR,RETURNING,FAILED
TX00101,19215,CARD,Bank_D,Android,4,0,1,CARD_DECLINED,NEW,FAILED
TX00102,11065,CARD,Bank_B,Android,8,0,1,NONE,RETURNING,SUCCESS
TX00103,9862,CARD,Bank_D,Android,12,1,2,NONE,NEW,SUCCESS
TX00104,5156,CARD,Bank_A,iOS,1,0,1,NONE,NEW,SUCCESS
TX00105,15048,UPI,Bank_A,Android,2,1,2,NONE,NEW,FAILED
TX00106,8210,NET_BANKING,Bank_A,Android,6,0,1,NONE,RETURNING,FAILED
TX00107,13873,UPI,Bank_A,iOS,20,0,1,NONE,RETURNING,SUCCESS
TX00108,17512,UPI,Bank_B,Desktop,11,1,2,NONE,NEW,FAILED
TX00109,602,UPI,Bank_D,iOS,17,0,1,NONE,RETURNING,SUCCESS
TX00110,7010,UPI,Bank_C,Android,8,0,1,NONE,NEW,FAILED
TX00111,12785,UPI,Bank_C,Android,12,0,1,NONE,RETURNING,SUCCESS
TX00112,306,UPI,Bank_B,iOS,10,0,1,NONE,RETURNING,SUCCESS
TX00113,17968,NET_BANKING,Bank_B,iOS,12,1,2,NONE,RETURNING,SUCCESS
TX00114,16034,UPI,Bank_B,Android,7,0,1,NONE,RETURNING,SUCCESS
TX00115,17347,UPI,Bank_B,Android,20,0,1,NONE,RETURNING,SUCCESS
TX00116,19274,CARD,Bank_C,Desktop,14,0,1,NONE,NEW,SUCCESS
TX00117,8855,UPI,Bank_C,iOS,13,0,1,BANK_ERROR,RETURNING,SUCCESS
TX00118,12483,UPI,Bank_B,Android,16,2,3,BANK_ERROR,NEW,SUCCESS
TX00119,18241,UPI,Bank_D,Android,12,0,1,NONE,RETURNING,FAILED
TX00120,14920,UPI,Bank_A,Desktop,10,0,1,NONE,RETURNING,SUCCESS
TX00121,7674,UPI,Bank_B,iOS,9,0,1,NONE,RETURNING,SUCCESS
TX00122,6474,CARD,Bank_D,Android,16,0,1,NONE,NEW,SUCCESS
TX00123,1778,NET_BANKING,Bank_D,Android,11,0,1,AUTH_ERROR,RETURNING,SUCCESS
TX00124,19726,CARD,Bank_A,Android,22,0,1,NONE,NEW,SUCCESS
TX00125,1159,UPI,Bank_B,Android,1,0,1,NONE,NEW,SUCCESS
TX00126,16298,UPI,Bank_B,Android,0,0,1,NONE,RETURNING,SUCCESS
TX00127,10014,UPI,Bank_A,iOS,14,1,2,NETWORK_ERROR,RETURNING,FAILED
TX00128,19641,UPI,Bank_C,Android,18,1,2,BANK_ERROR,NEW,FAILED
TX00129,10917,UPI,Bank_B,iOS,17,1,2,BANK_ERROR,RETURNING,SUCCESS
TX00130,11021,NET_BANKING,Bank_C,Android,2,2,3,BANK_ERROR,NEW,FAILED
TX00131,9889,UPI,Bank_A,Android,8,1,2,BANK_ERROR,NEW,FAILED
TX00132,16412,UPI,Bank_D,Android,21,0,1,NONE,NEW,SUCCESS
TX00133,11352,UPI,Bank_C,Android,12,0,1,NONE,RETURNING,FAILED
TX00134,2793,UPI,Bank_C,Desktop,10,2,3,AUTH_ERROR,RETURNING,FAILED
TX00135,14031,CARD,Bank_C,Android,18,0,1,NONE,NEW,SUCCESS
TX00136,3727,NET_BANKING,Bank_D,Android,21,0,1,NONE,RETURNING,SUCCESS
TX00137,16257,UPI,Bank_D,Android,15,1,2,BANK_ERROR,RETURNING,FAILED
TX00138,10273,UPI,Bank_C,Desktop,18,1,2,BANK_ERROR,NEW,FAILED
TX00139,18147,NET_BANKING,Bank_C,iOS,7,2,3,BANK_ERROR,NEW,FAILED
TX00140,10330,CARD,Bank_C,iOS,11,0,1,NONE,NEW,SUCCESS
TX00141,15807,NET_BANKING,Bank_B,Android,20,2,3,NETWORK_ERROR,RETURNING,FAILED
TX00142,11594,UPI,Bank_A,Android,1,0,1,NONE,RETURNING,SUCCESS
TX00143,1406,UPI,Bank_B,Android,4,0,1,NONE,RETURNING,SUCCESS
TX00144,6876,UPI,Bank_C,Desktop,13,2,3,NETWORK_ERROR,RETURNING,FAILED
TX00145,9574,UPI,Bank_A,Android,15,2,3,BANK_ERROR,NEW,FAILED
TX00146,7626,CARD,Bank_B,Desktop,18,0,1,NONE,RETURNING,SUCCESS
TX00147,5630,UPI,Bank_B,Android,1,0,1,NONE,RETURNING,SUCCESS
TX00148,3848,UPI,Bank_B,iOS,9,0,1,NONE,RETURNING,SUCCESS
TX00149,13645,UPI,Bank_D,Android,9,0,1,NONE,NEW,SUCCESS
TX00150,763,CARD,Bank_A,Desktop,7,0,1,NONE,RETURNING,SUCCESS
TX00151,2098,UPI,Bank_C,Android,11,0,1,NONE,NEW,SUCCESS
TX00152,8094,UPI,Bank_C,Android,18,0,1,NONE,NEW,FAILED
TX00153,17979,CARD,Bank_A,Android,9,3,4,CARD_DECLINED,RETURNING,FAILED
