Amount,Payment_Method,Bank,Previous_Failures,Attempt_Number,Error,Original_Status,Risk_Percentage,Risk_Level,Recovery_Action
9508,UPI,Bank_A,1,2,NONE,SUCCESS,33.6,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
3264,UPI,Bank_A,0,1,NONE,SUCCESS,11.03,LOW,Continue payment normally.
7974,NET_BANKING,Bank_D,2,3,AUTH_ERROR,FAILED,89.03,HIGH,Complete authentication and retry the payment.
14777,CARD,Bank_C,0,1,AUTH_ERROR,SUCCESS,61.92,MEDIUM,Complete authentication and retry the payment.
17363,CARD,Bank_B,1,2,NONE,FAILED,42.93,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
18205,UPI,Bank_D,0,1,NONE,FAILED,18.48,LOW,Continue payment normally.
1811,NET_BANKING,Bank_C,2,3,AUTH_ERROR,FAILED,91.29,HIGH,Complete authentication and retry the payment.
10475,CARD,Bank_B,2,3,CARD_DECLINED,FAILED,84.18,HIGH,Try UPI or Net Banking instead of the card.
16534,UPI,Bank_A,0,1,NONE,FAILED,14.31,LOW,Continue payment normally.
14258,UPI,Bank_B,0,1,BANK_ERROR,FAILED,38.83,MEDIUM,Try another bank or payment method.
15474,UPI,Bank_C,3,4,NETWORK_ERROR,FAILED,96.37,HIGH,Retry after a short delay or use another payment method.
2602,UPI,Bank_B,0,1,NONE,SUCCESS,13.71,LOW,Continue payment normally.
6554,CARD,Bank_C,1,2,AUTH_ERROR,SUCCESS,80.61,HIGH,Complete authentication and retry the payment.
1088,UPI,Bank_A,0,1,NONE,SUCCESS,11.89,LOW,Continue payment normally.
19968,UPI,Bank_B,0,1,NONE,SUCCESS,16.95,LOW,Continue payment normally.
10779,NET_BANKING,Bank_B,0,1,NONE,SUCCESS,16.26,LOW,Continue payment normally.
9657,NET_BANKING,Bank_D,2,3,NETWORK_ERROR,FAILED,88.41,HIGH,Retry after a short delay or use another payment method.
16334,UPI,Bank_D,0,1,NONE,SUCCESS,18.15,LOW,Continue payment normally.
1955,CARD,Bank_B,0,1,NONE,SUCCESS,15.19,LOW,Continue payment normally.
4413,UPI,Bank_B,0,1,NONE,SUCCESS,11.04,LOW,Continue payment normally.
5801,UPI,Bank_C,1,2,NONE,SUCCESS,41.1,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
4565,UPI,Bank_A,3,4,BANK_ERROR,FAILED,92.73,HIGH,Try another bank or payment method.
2210,UPI,Bank_B,0,1,NONE,FAILED,15.6,LOW,Continue payment normally.
10551,NET_BANKING,Bank_B,1,2,AUTH_ERROR,FAILED,74.53,HIGH,Complete authentication and retry the payment.
6001,UPI,Bank_C,0,1,NONE,SUCCESS,22.24,LOW,Continue payment normally.
11282,UPI,Bank_C,0,1,NONE,SUCCESS,19.88,LOW,Continue payment normally.
2046,CARD,Bank_A,2,3,AUTH_ERROR,FAILED,87.16,HIGH,Complete authentication and retry the payment.
8361,NET_BANKING,Bank_D,0,1,BANK_ERROR,SUCCESS,50.12,MEDIUM,Try another bank or payment method.
13965,UPI,Bank_B,1,2,NETWORK_ERROR,FAILED,70.38,HIGH,Retry after a short delay or use another payment method.
5422,UPI,Bank_D,1,2,NONE,FAILED,36.15,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
13112,NET_BANKING,Bank_D,1,2,NONE,FAILED,47.39,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
8529,UPI,Bank_A,0,1,NONE,SUCCESS,13.37,LOW,Continue payment normally.
